"Date","Price","Open","High","Low","Vol","Change"
"May 18, 2015","40.28","40.01","40.61","39.90","1.37M","0.93"
"May 15, 2015","39.91","40.15","40.50","39.72","844.13K","-0.77"
"May 14, 2015","40.22","39.87","40.97","39.79","1.45M","1.34"
"May 13, 2015","39.69","39.72","40.14","39.55","735.67K","-0.03"
"May 12, 2015","39.70","39.93","39.99","38.87","1.63M","-0.70"
"May 11, 2015","39.98","40.31","40.75","39.97","838.96K","-0.62"
"May 08, 2015","40.23","39.78","40.77","39.50","1.41M","2.08"
"May 07, 2015","39.41","39.15","40.30","38.64","1.62M","1.05"
"May 06, 2015","39.00","39.09","39.82","38.10","1.52M","0.15"
"May 05, 2015","38.94","38.85","39.79","38.60","1.46M","-0.21"
"May 04, 2015","39.02","40.02","40.05","38.82","2.78M","-2.67"
"May 01, 2015","40.09","41.09","41.42","39.34","2.55M","-2.62"
"Apr 30, 2015","41.17","40.54","42.45","40.51","3.67M","0.78"
"Apr 29, 2015","40.85","43.13","44.58","39.58","9.21M","-9.82"
"Apr 28, 2015","45.30","46.73","47.18","44.57","3.65M","-3.98"
"Apr 27, 2015","47.18","46.14","47.38","46.01","1.81M","2.57"
"Apr 24, 2015","46.00","46.23","46.40","45.43","789.93K","-0.54"
"Apr 23, 2015","46.25","45.98","46.60","45.87","704.19K","0.89"
"Apr 22, 2015","45.84","46.19","46.60","45.56","688.46K","-0.97"
"Apr 21, 2015","46.29","45.54","46.70","45.54","1.02M","1.83"
"Apr 20, 2015","45.46","45.41","45.70","44.40","744.41K","0.55"
"Apr 17, 2015","45.21","45.37","45.50","44.29","1.12M","-0.26"
"Apr 16, 2015","45.33","45.16","45.77","44.76","632.94K","0.33"
"Apr 15, 2015","45.18","44.03","45.39","44.03","1.22M","3.53"
"Apr 14, 2015","43.64","44.52","45.24","43.21","1.48M","-1.45"
"Apr 13, 2015","44.28","44.00","44.62","43.78","1.03M","1.07"
"Apr 10, 2015","43.81","43.88","44.41","43.64","756.97K","-0.23"
"Apr 09, 2015","43.91","44.75","45.12","42.66","3.29M","-2.94"
"Apr 08, 2015","45.24","45.30","45.59","44.45","1.21M","0.47"
"Apr 07, 2015","45.03","45.28","45.65","44.50","1.21M","0.42"
"Apr 06, 2015","44.84","44.10","45.13","44.03","969.80K","1.29"
"Apr 02, 2015","44.27","44.65","45.00","43.44","1.29M","-0.67"
"Apr 01, 2015","44.57","45.36","45.74","44.07","1.62M","-1.81"
"Mar 31, 2015","45.39","46.15","47.95","45.24","3.49M","-1.82"
"Mar 30, 2015","46.23","45.55","47.16","45.34","848.68K","1.96"
"Mar 27, 2015","45.34","44.97","45.42","44.62","656.26K","0.78"
"Mar 26, 2015","44.99","44.59","45.26","44.06","667.37K","0.33"
"Mar 25, 2015","44.84","45.81","46.14","44.55","1.23M","-1.60"
"Mar 24, 2015","45.57","45.80","46.24","45.16","777.52K","-0.48"
"Mar 23, 2015","45.79","45.21","46.42","44.71","1.08M","1.48"
"Mar 20, 2015","45.12","45.37","45.37","44.40","2.27M","-0.27"
"Mar 19, 2015","45.24","45.07","45.39","44.48","1.12M","-0.13"
"Mar 18, 2015","45.30","45.37","45.53","44.33","1.18M","0.02"
"Mar 17, 2015","45.29","45.40","46.23","44.92","1.92M","0.24"
"Mar 16, 2015","45.18","44.48","45.32","44.03","2.40M","2.10"
"Mar 13, 2015","44.25","43.30","44.82","43.17","1.93M","1.61"
"Mar 12, 2015","43.55","43.17","43.75","43.10","870.01K","1.47"
"Mar 11, 2015","42.92","42.70","43.68","42.35","1.35M","0.87"
"Mar 10, 2015","42.55","42.58","42.90","42.00","1.35M","-1.02"
"Mar 09, 2015","42.99","42.23","43.25","41.07","1.60M","1.58"
"Mar 06, 2015","42.32","42.87","43.49","41.70","1.39M","-2.01"
"Mar 05, 2015","43.19","43.62","43.62","42.34","1.21M","-0.55"
"Mar 04, 2015","43.43","43.49","43.66","42.86","853.79K","-0.14"
"Mar 03, 2015","43.49","43.53","44.15","43.09","1.63M","-1.36"
"Mar 02, 2015","44.09","42.01","44.30","41.73","2.26M","4.95"
"Feb 27, 2015","42.01","42.00","42.85","41.57","1.64M","0.62"
"Feb 26, 2015","41.75","43.52","44.08","41.21","2.42M","-1.67"
"Feb 25, 2015","42.46","41.15","43.02","41.00","3.54M","3.66"
"Feb 24, 2015","40.96","40.22","41.49","40.18","1.56M","1.34"
"Feb 23, 2015","40.42","41.50","41.69","40.22","1.51M","-2.27"
